Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,file_name,genre,possibility0,possibility1,possibility2,possibility3,possibility4,possibility5,possibility6,possibility7,possibility8,possibility9
pink,vertebrate,water bird,text,bird,magenta,art,graphic design,font,illustration,a3896630334_2.jpg,pop,0.9622989892959596,0.9037036895751952,0.8755414485931396,0.8596411943435669,0.8143850564956665,0.7080701589584351,0.6835244297981262,0.6675169467926025,0.6660058498382568,0.6116710305213928
text,font,product,line,paper,diagram,black and white,document,area,number,a2996438458_2.jpg,pop,0.9790794849395752,0.9346179366111756,0.7947811484336853,0.7926959395408629,0.7664134502410889,0.765364944934845,0.7629083395004272,0.7442150712013245,0.6720095872879028,0.6669977307319641
text,font,calligraphy,design,organism,love,ear,,,,a2697765781_2.jpg,pop,0.9322088956832886,0.8913150429725647,0.7278412580490112,0.652800977230072,0.6376926302909851,0.5850145220756531,0.5620390772819519,,,
text,font,logo,black and white,line,area,product design,product,graphics,clip art,a3549994378_2.jpg,pop,0.9288811683654784,0.8607246875762941,0.772405207157135,0.7470460534095764,0.7357785701751709,0.6720095872879028,0.6520138382911682,0.5966602563858032,0.5884010791778564,0.5821877717971802
face,facial expression,nose,forehead,chin,shout,cheek,ear,neck,mouth,a3159902739_2.jpg,pop,0.9511861205101012,0.9329683780670166,0.9112127423286438,0.8758477568626404,0.8630396127700806,0.810733437538147,0.7961527109146118,0.7396320104598999,0.7360799908638,0.7271604537963867
facial hair,man,album cover,black and white,moustache,gentleman,beard,human behavior,poster,font,a2045395419_2.jpg,pop,0.9230154156684875,0.9129140973091124,0.895531952381134,0.8775702118873596,0.870499312877655,0.8543075919151306,0.7467384338378906,0.7291738390922546,0.6984731554985046,0.641668975353241
suit,formal wear,gentleman,tuxedo,standing,outerwear,blazer,,,,a1929688445_2.jpg,pop,0.9830505847930908,0.9429447054862976,0.8550257086753845,0.7865168452262878,0.749175488948822,0.7455074787139893,0.6668059229850769,,,
black,black and white,text,cartoon,poster,art,male,font,human behavior,illustration,a3363529524_2.jpg,pop,0.9510399103164672,0.9094955921173096,0.9013828039169312,0.8960881233215332,0.8600060939788818,0.8454189896583557,0.8136659860610962,0.7863171100616455,0.7676941156387329,0.73939049243927
yellow,triangle,computer wallpaper,graphics,font,,,,,,a2358362442_2.jpg,pop,0.9422444105148317,0.6973628401756287,0.5882858633995056,0.5725186467170715,0.5693962574005127,,,,,
album cover,film,darkness,photo caption,computer wallpaper,action film,font,,,,a1198195445_2.jpg,pop,0.8870746493339539,0.6873793601989746,0.6463544368743896,0.6180669069290161,0.5796610116958618,0.5585161447525024,0.5376549363136292,,,
text,phenomenon,album cover,special effects,magenta,space,font,computer wallpaper,sky,graphics,a1384226980_2.jpg,pop,0.8606799840927124,0.7547649145126343,0.6779827475547789,0.6357715725898743,0.6338154077529907,0.5749008655548096,0.5692858099937439,0.5659303665161133,0.5465698838233948,0.5182061195373535
text,poster,font,album cover,fictional character,graphics,graphic design,illustration,skull,art,a4104502860_2.jpg,pop,0.8728284239768982,0.7731288075447083,0.7672834396362305,0.678945779800415,0.6524556875228882,0.6181408762931824,0.6105850338935852,0.5951616764068604,0.5774442553520203,0.576499879360199
green,facial expression,text,album cover,emotion,human behavior,smile,poster,cool,font,a1448638227_2.jpg,pop,0.9608830213546752,0.9377740621566772,0.8998042345046997,0.837507426738739,0.8110261559486389,0.7660896182060242,0.7538908123970032,0.7241992950439453,0.6569669842720032,0.6561627388000488
green,yellow,text,ecosystem,grass,organism,grass family,meadow,graphics,computer wallpaper,a2215747779_2.jpg,pop,0.9421317577362059,0.9366990327835084,0.9037898182868958,0.899476170539856,0.8603943586349487,0.7219704985618591,0.6382098793983461,0.5662538409233093,0.5494892597198486,0.5394672751426697
industry,factory,silo,black and white,power station,building,monochrome,,,,a2459887388_2.jpg,pop,0.9010000824928284,0.771757960319519,0.7188925743103027,0.6987786889076233,0.5854480266571045,0.5611228942871094,0.5332480669021606,,,
text,black and white,shoulder,joint,font,arm,product design,neck,product,brand,a2172027042_2.jpg,pop,0.8750056028366089,0.8356597423553467,0.8297504186630249,0.7951574921607971,0.7898600101470947,0.6982637047767639,0.6652863025665283,0.6056787967681885,0.6010104417800903,0.5653747916221619
denim,jeans,product,shorts,font,product,brand,underpants,trousers,,a1632704891_2.jpg,pop,0.9675881266593932,0.9113828539848328,0.7971085906028748,0.7947155237197876,0.652815580368042,0.6452298164367676,0.6446462273597717,0.5378067493438721,0.5316241979598999,
mountainous landforms,mountain,highland,wilderness,sky,ridge,mount scenery,fell,hill station,national park,a3542282774_2.jpg,pop,0.9080387353897096,0.8857327699661255,0.8812486529350281,0.8800129890441895,0.8775868415832521,0.8734480142593384,0.8590245842933655,0.8027111291885376,0.7766673564910889,0.7088940739631653
sea,water resources,shore,sky,coast,water,beach,vacation,coastal and oceanic landforms,horizon,a3635581414_2.jpg,pop,0.9135263562202454,0.8312839865684509,0.8041316866874695,0.7739172577857971,0.7520757913589478,0.7172582745552063,0.7067879438400269,0.6753782629966736,0.6683524250984192,0.6578669548034668
pink,purple,graphic design,art,violet,design,fictional character,font,illustration,magenta,a2478738141_2.jpg,pop,0.9598006010055542,0.9121528267860411,0.839185893535614,0.8222367167472839,0.8078504204750061,0.7840557098388672,0.7389983534812927,0.7336427569389343,0.7335647940635681,0.7333388328552246
guitar,music,string instrument accessory,guitarist,musical instrument,musician,string instrument,string instrument,plucked string instruments,performance,a3978416786_2.jpg,pop,0.9655095338821412,0.9597772359848022,0.9550353884696959,0.9472908973693848,0.9411334395408629,0.9401808977127076,0.9221820831298828,0.91770339012146,0.9017831087112428,0.8957399725914001
compact disc,label,dvd,gramophone record,data storage device,brand,product,font,,,a4112709166_2.jpg,pop,0.8611989021301271,0.632790744304657,0.5774179697036743,0.5620121359825134,0.5283256769180298,0.5139712691307068,0.50918048620224,0.5055335760116577,,
floor,angle,glass,,,,,,,,a2895101450_2.jpg,pop,0.6762511730194092,0.5661298632621765,0.5626278519630432,,,,,,,
text,graphic design,phenomenon,darkness,font,poster,computer wallpaper,album cover,graphics,special effects,a2443944090_2.jpg,pop,0.8707160353660583,0.805174708366394,0.7547649145126343,0.7366752624511719,0.7343736290931702,0.7330814599990845,0.730805516242981,0.6557080745697021,0.6352335810661316,0.5124598145484924
yellow,text,font,sky,illustration,computer wallpaper,art,graphics,visual arts,stock photography,a3080890888_2.jpg,pop,0.9431877136230468,0.920969009399414,0.7380441427230835,0.6942397356033325,0.5877884030342102,0.5680764317512512,0.5259900093078613,0.5259184241294861,0.5248042941093445,0.5188115835189819
nose,text,font,black and white,jaw,computer wallpaper,design,graphics,illustration,,a2796826376_2.jpg,pop,0.8885013461112976,0.877578616142273,0.7767535448074341,0.7546980381011963,0.6863044500350952,0.6807519793510437,0.6552713513374329,0.6159722805023193,0.5468820929527283,
flower,flora,green,text,purple,plant,grass,petal,organism,flowering plant,a1654119902_2.jpg,pop,0.975922167301178,0.9657137393951416,0.9347716569900512,0.895955502986908,0.8954726457595825,0.7984760403633118,0.650464653968811,0.6401841640472412,0.6400641798973083,0.6262302994728088
atmosphere,phenomenon,astronomical object,sky,night,font,earth,space,moon,universe,a3364155396_2.jpg,pop,0.8597802519798279,0.7547649145126343,0.7408884167671204,0.732018768787384,0.6471062898635864,0.6246329545974731,0.5848795175552368,0.5808802247047424,0.5549786686897278,0.5538308024406433
album cover,cool,album,human behavior,photo caption,,,,,,a3517004750_2.jpg,pop,0.9289125204086304,0.6334190368652344,0.6152778267860413,0.5600876808166504,0.5409219264984131,,,,,
photograph,black and white,monochrome photography,sky,text,photography,cloud,phenomenon,monochrome,font,a2588992662_2.jpg,pop,0.9483357667922974,0.9450052976608276,0.9164451360702516,0.9060360193252563,0.8561268448829651,0.8527071475982666,0.8286215662956238,0.7547649145126343,0.7302091717720032,0.7227080464363098
panorama,water resources,urban design,,,,,,,,a2856017639_2.jpg,pop,0.6363028883934021,0.6192755699157715,0.6175963878631592,,,,,,,
blue,text,sky,art,texture,font,visual arts,painting,world,,a2593912467_2.jpg,pop,0.9682754278182985,0.9129506945610046,0.8525762557983398,0.6813763976097107,0.6451686024665833,0.5709642171859741,0.5495410561561584,0.5200742483139038,0.5153355002403259,
product design,font,brand,product,,,,,,,a1379533785_2.jpg,pop,0.6395313143730164,0.6343126893043518,0.6067591309547424,0.5190190076828003,,,,,,
muscle,computer wallpaper,electric blue,,,,,,,,a3490779582_2.jpg,pop,0.7247071266174316,0.5474225282669067,0.5363964438438416,,,,,,,
yellow,light,line,neon,font,cable,,,,,a3261880386_2.jpg,pop,0.9044265151023864,0.8532265424728394,0.7112522721290588,0.5814903378486633,0.5131200551986694,0.5054051876068115,,,,
sky,nature,tree,atmosphere of earth,morning,phenomenon,atmosphere,branch,daytime,landscape,a1066345528_2.jpg,pop,0.9745903611183168,0.9403416514396667,0.8817729949951172,0.7996209263801575,0.7703042030334473,0.7547649145126343,0.7337946891784668,0.7306386828422546,0.6934804916381836,0.6033958792686462
hand,joint,text,finger,bone,jaw,arm,human,font,hand model,a1175824674_2.jpg,pop,0.9191460013389589,0.8754448294639587,0.8596746921539307,0.8215471506118774,0.8113142251968384,0.7735796570777893,0.7451087832450867,0.709811806678772,0.670444130897522,0.6654682755470276
face,pink,cartoon,nose,fictional character,clip art,illustration,art,product,font,a3824190708_2.jpg,pop,0.9606066942214966,0.9329088926315308,0.8704319000244141,0.8674620389938354,0.7897956371307373,0.7896376252174377,0.7607852220535278,0.7309372425079346,0.7153231501579285,0.6980932950973511
computer wallpaper,petal,still life photography,font,,,,,,,a2076421052_2.jpg,pop,0.564591109752655,0.5233552455902101,0.5188167095184326,0.5076898336410522,,,,,,
guitar,string instrument,musical instrument,plucked string instruments,string instrument,guitarist,bass guitar,electric guitar,string instrument accessory,slide guitar,a2082108684_2.jpg,pop,0.9619332551956176,0.9357594847679138,0.9195305109024048,0.8876541256904602,0.8223027586936951,0.8154677748680115,0.801469624042511,0.7646279335021973,0.7461198568344116,0.6574389934539795
text,poster,advertising,album cover,font,illustration,fiction,graphic design,graphics,fictional character,a3590680467_2.jpg,pop,0.9074822664260864,0.8577147722244263,0.8197860121726991,0.7409135699272156,0.5873245000839233,0.5867844223976135,0.5497153997421265,0.5376713275909424,0.5322033762931824,0.5229129195213318
font,advertising,,,,,,,,,a2019461673_2.jpg,pop,0.5726187229156494,0.5163589715957642,,,,,,,,
album cover,poster,film,soldier,action film,font,album,,,,a1823538193_2.jpg,pop,0.8340203762054443,0.7974234819412231,0.7891651391983032,0.7119965553283691,0.5924333930015564,0.5734233260154724,0.5150120258331299,,,
black and white,gentleman,monochrome photography,photography,darkness,formal wear,suit,album cover,monochrome,font,a2991363228_2.jpg,pop,0.9199166297912598,0.8651646375656128,0.8078841567039491,0.7988669276237488,0.7375131845474243,0.7283764481544495,0.6860144734382629,0.6850426197052002,0.6798586845397949,0.6523717641830444
joint,circle,design,font,organism,human behavior,product,diagram,,,a4213365985_2.jpg,pop,0.843051552772522,0.680320143699646,0.6580387353897095,0.6355944275856018,0.6309258341789246,0.6186133027076721,0.6087801456451416,0.582583487033844,,
purple,sea,horizon,sky,shore,ocean,calm,water,,,a1126332004_2.jpg,pop,0.9058958292007446,0.8681303858757019,0.8389617800712585,0.8239902257919312,0.8231108784675598,0.7121533155441284,0.6949042677879333,0.6339565515518188,,
black hair,girl,product,brown hair,flooring,pattern,album cover,,,,a3491728701_2.jpg,pop,0.7032742500305176,0.6466785073280334,0.6420225501060486,0.5478091239929199,0.5322439670562744,0.5254285335540771,0.5052332878112793,,,
phenomenon,sky,snout,facial hair,,,,,,,a1275218349_2.jpg,pop,0.7547649145126343,0.6234097480773926,0.6037911772727966,0.5153021216392517,,,,,,
guitar,musical instrument,bass guitar,string instrument,plucked string instruments,string instrument,electric guitar,acoustic electric guitar,acoustic guitar,cuatro,a2194845998_2.jpg,pop,0.986507773399353,0.9787930846214294,0.969346284866333,0.9201034903526306,0.8934212923049927,0.8329916596412659,0.7886732220649719,0.760391354560852,0.7338383793830872,0.6728653311729431
sky,daytime,atmosphere,atmosphere of earth,morning,phenomenon,evening,cloud,city,skyline,a1911685054_2.jpg,pop,0.9804020524024964,0.937021017074585,0.8636420965194702,0.8046537637710571,0.7712615728378296,0.7547649145126343,0.6726025938987732,0.6303438544273376,0.5647128820419312,0.5636919736862183
purple,art,cartoon,violet,fictional character,illustration,organism,human behavior,graphics,mythical creature,a2859747222_2.jpg,pop,0.9342773556709291,0.8404968976974487,0.8034623265266418,0.8016080260276794,0.7849514484405518,0.7144253849983215,0.6693575382232666,0.602436363697052,0.5876553058624268,0.566940188407898
art,collage,album cover,poster,album,font,black and white,product,human behavior,,a1024655224_2.jpg,pop,0.7948100566864014,0.7582235932350159,0.7368804812431335,0.6772327423095703,0.621353030204773,0.591949462890625,0.5865893959999084,0.5352622270584106,0.5131726264953613,
sky,text,blue,green,white,atmosphere,horizon,aqua,font,azure,a3163664589_2.jpg,pop,0.9870324134826659,0.969385862350464,0.9683970808982848,0.96474426984787,0.96233469247818,0.9520565867424012,0.91429203748703,0.8843382596969604,0.8777757287025452,0.8328222632408142
yellow,sky,line,ecoregion,wood,pattern,texture,font,membrane winged insect,point,a2724578408_2.jpg,pop,0.9515215158462524,0.8944060802459717,0.7221794724464417,0.6488901376724243,0.6471767425537109,0.6288050413131714,0.6216347813606262,0.596548318862915,0.5180138349533081,0.5169022083282471
fashion accessory,headgear,headpiece,hair accessory,black and white,history,hat,vintage clothing,album cover,,a3353259004_2.jpg,pop,0.8711971640586853,0.8573929071426392,0.8444835543632507,0.814767062664032,0.7568098306655884,0.6704029440879822,0.6573335528373718,0.588995099067688,0.5381953120231628,
black,black and white,monochrome photography,darkness,light,photography,monochrome,atmosphere,night,phenomenon,a3494578631_2.jpg,pop,0.9598328471183776,0.9534936547279358,0.9283627867698668,0.8943608999252319,0.825642466545105,0.8223641514778137,0.7987554669380188,0.7755111455917358,0.7733439803123474,0.7547649145126343
photograph,black and white,dress,monochrome photography,gown,lady,monochrome,photo shoot,girl,bridal clothing,a2359125665_2.jpg,pop,0.9563097953796388,0.9327557682991028,0.9237968325614928,0.8722640872001648,0.8707938194274902,0.8445876836776733,0.7207908630371094,0.7202664017677307,0.6789343953132629,0.6670858263969421
purple,album cover,tree,fun,art,night,graphics,computer wallpaper,space,darkness,a2414000238_2.jpg,pop,0.9154467582702636,0.7736055254936218,0.7290068268775941,0.6583040952682495,0.6258662939071655,0.5977054238319397,0.5789251327514648,0.5326239466667175,0.5116002559661865,0.5083852410316467
line art,face,white,clothing,black,facial expression,black and white,mammal,nose,vertebrate,a2750574481_2.jpg,pop,0.9835633039474488,0.9722240567207336,0.9644447565078736,0.9518828392028807,0.951705276966095,0.9402425289154052,0.934290885925293,0.9262873530387878,0.9207218885421752,0.9037036895751952
performing arts,art,performance,music,painting,,,,,,a3609944110_2.jpg,pop,0.816222608089447,0.7825018763542175,0.6670229434967041,0.592585027217865,0.5125704407691956,,,,,
yellow,text,joint,poster,font,line,illustration,art,graphic design,wing,a3696986109_2.jpg,pop,0.943968951702118,0.8904083371162415,0.82027268409729,0.7863211631774902,0.7683178782463074,0.6628945469856262,0.6628322601318359,0.6434588432312012,0.5769874453544617,0.544310986995697
bicycle,motor vehicle,road bicycle,bicycle wheel,snow,bicycle frame,mode of transport,bicycle part,bicycle saddle,wheel,a3192605614_2.jpg,pop,0.9624285697937012,0.9570426940917968,0.943074107170105,0.9422119259834291,0.920504868030548,0.9121662974357604,0.8752014636993408,0.8728657960891724,0.8370109796524048,0.8275976777076721
art,text,poster,font,illustration,street art,graphics,graphic design,graffiti,fiction,a3167635414_2.jpg,pop,0.8887615203857422,0.8651857376098633,0.8568086624145508,0.7581183314323425,0.58172208070755,0.5652272701263428,0.5153111815452576,0.5118539333343506,0.5065031051635742,0.5051534175872803
horizon,sea,calm,sky,shore,ocean,coastal and oceanic landforms,pier,coast,water resources,a2163155036_2.jpg,pop,0.9690276980400084,0.9506431818008424,0.912276029586792,0.9093356728553772,0.9027081131935121,0.8796371221542358,0.8460386991500854,0.7747215628623962,0.76140296459198,0.7158308029174805
car,night,mode of transport,light,traffic,lighting,metropolitan area,evening,street light,city,a1125999473_2.jpg,pop,0.9216145873069764,0.921394109725952,0.8752418160438538,0.841562032699585,0.7937749028205872,0.7660940289497375,0.74029541015625,0.7238320112228394,0.6853376030921936,0.6681085228919983
black,photograph,black and white,monochrome photography,darkness,photography,album cover,phenomenon,monochrome,gentleman,a1273370779_2.jpg,pop,0.9562581777572632,0.9527520537376404,0.9426757693290709,0.8939009308815002,0.8751654028892517,0.835995078086853,0.796220064163208,0.7547649145126343,0.7421821355819702,0.6906411647796631
face,skin,nose,head,smile,child,watercolor paint,happiness,bedtime,girl,a2831748755_2.jpg,pop,0.954355239868164,0.9440534114837646,0.8956766128540039,0.8594682216644287,0.7256426811218262,0.6613110899925232,0.6372592449188232,0.6281542181968689,0.6101630330085754,0.6080636978149414
night,mode of transport,infrastructure,sky,road,atmosphere,phenomenon,highway,lane,fixed link,a4276938154_2.jpg,pop,0.9053847193717957,0.8749786019325256,0.8690754175186157,0.8680452108383179,0.8583489656448364,0.7582570314407349,0.7547649145126343,0.7433675527572632,0.6728605031967163,0.656818151473999
green,technology,text,display device,font,signage,neon sign,electronic signage,led display,graphics,a3910488364_2.jpg,pop,0.960444450378418,0.9083846211433412,0.9003306031227112,0.8194394707679749,0.7423775196075441,0.686705470085144,0.6338214874267578,0.6260269284248352,0.6172718405723572,0.5729002952575684
poster,text,film,album cover,advertising,font,human behavior,photo caption,,,a3417272666_2.jpg,pop,0.8985946178436279,0.8754453063011169,0.8170191049575806,0.8114407658576965,0.7337310910224915,0.7091922760009766,0.558616042137146,0.5055660605430603,,
sky,morning,cloud,phenomenon,evening,font,landscape,,,,a1967439542_2.jpg,pop,0.9136558175086976,0.7738931775093079,0.7595295310020447,0.7547649145126343,0.5985379815101624,0.5383830666542053,0.5040519833564758,,,
water,text,sea,album cover,poster,organism,ocean,sky,calm,font,a1190112627_2.jpg,pop,0.963862955570221,0.8579148054122925,0.8167368769645691,0.7613749504089355,0.6801513433456421,0.6593786478042603,0.6542450785636902,0.6383709311485289,0.6184753775596619,0.609356164932251
mammal,fauna,art,dog like mammal,illustration,snout,carnivoran,whiskers,visual arts,drawing,a2360026471_2.jpg,pop,0.9231033921241759,0.9007031321525574,0.8347386717796326,0.6889567971229553,0.688321053981781,0.6849961280822754,0.6162359714508057,0.5847331285476685,0.5802251696586609,0.5608934164047241
text,font,poster,advertising,brand,label,album cover,graphic design,,,a2787402216_2.jpg,pop,0.9434008002281188,0.8884556293487549,0.7988209128379822,0.7931092381477356,0.6360285878181458,0.581413984298706,0.5237743854522705,0.5123008489608765,,
blue,sky,texture,line,pattern,map,,,,,a2865522223_2.jpg,pop,0.9681710600852966,0.8193698525428772,0.7925681471824646,0.681531548500061,0.6176966428756714,0.5624979734420776,,,,
black,photograph,black and white,monochrome photography,text,photography,snapshot,dress,monochrome,font,a3268504777_2.jpg,pop,0.9592725038528442,0.9563266038894652,0.9494799971580504,0.9098057746887208,0.8790211677551271,0.8465542793273926,0.8176745176315308,0.8165368437767029,0.7681508064270021,0.7109410166740417
font,technology,line,product design,black and white,angle,graphics,,,,a3136516483_2.jpg,pop,0.7123884558677673,0.7016904354095459,0.6904758810997009,0.6738243699073792,0.6542707085609436,0.5478881001472473,0.5384421944618225,,,
text,font,graphics,,,,,,,,a3105095657_2.jpg,pop,0.9177550673484802,0.8126090168952942,0.5479100346565247,,,,,,,
leaf,grass,still life photography,computer wallpaper,art,,,,,,a1188503136_2.jpg,pop,0.7721634507179259,0.6125850081443787,0.5781112313270569,0.5342472195625305,0.5338842868804932,,,,,
dog like mammal,mammal,dog,fauna,art,carnivoran,illustration,snout,organism,dog breed,a1601002802_2.jpg,pop,0.9592648148536682,0.9249147772789,0.8971308469772339,0.8447867035865784,0.7686545252799988,0.7001844644546509,0.6977227926254272,0.6874561905860901,0.6641640067100525,0.6554466485977173
facial expression,nose,headgear,smile,girl,mouth,fun,winter,hair coloring,knit cap,a2336124257_2.jpg,pop,0.9337605834007264,0.8816789984703064,0.8050194978713989,0.7695049047470093,0.7464157342910767,0.7001623511314392,0.6998555660247803,0.6747099757194519,0.6237295866012573,0.5904870629310608
album cover,advertising,furniture,,,,,,,,a4246471043_2.jpg,pop,0.6880262494087219,0.6574110984802246,0.5141376256942749,,,,,,,
pink,social group,girl,socialite,professional,family,team,,,,a1961514394_2.jpg,pop,0.9438984394073486,0.9438868165016174,0.7197468876838684,0.6829255223274231,0.6647516489028931,0.5868661999702454,0.5825576782226562,,,
water,black and white,organism,font,illustration,stock photography,,,,,a3388305720_2.jpg,pop,0.8776876330375671,0.8526181578636169,0.6428288221359253,0.5946782231330872,0.5527219772338867,0.5490525960922241,,,,
eyebrow,beauty,hairstyle,chin,black hair,hair coloring,forehead,long hair,eyelash,brown hair,a1867344384_2.jpg,pop,0.8773838877677917,0.8705795407295227,0.8298660516738892,0.8229096531867981,0.7550373673439026,0.7268338203430176,0.7252268791198729,0.649694561958313,0.6363676190376282,0.6213540434837341
eyewear,fashion accessory,vision care,cool,glasses,product,forehead,neck,sunglasses,font,a2710680641_2.jpg,pop,0.9637466073036194,0.8323801159858704,0.8306474685668945,0.7743528485298157,0.7551722526550293,0.7503871321678162,0.7310282588005066,0.6469314694404602,0.6426573991775513,0.5589605569839478
text,black and white,font,monochrome photography,calligraphy,monochrome,label,,,,a2451423715_2.jpg,pop,0.9550386667251588,0.9133910536766052,0.90778785943985,0.6997913122177124,0.5963345766067505,0.5884245038032532,0.5455619096755981,,,
beauty,darkness,album cover,computer wallpaper,black hair,font,flash photography,photo shoot,girl,midnight,a1323498856_2.jpg,pop,0.8536394238471985,0.8477320075035095,0.7971492409706116,0.7441515922546387,0.6966121792793274,0.6379846930503845,0.584999680519104,0.5713051557540894,0.5631901025772095,0.5631625056266785
swimming pool,property,floor,outdoor structure,water,wood,estate,flooring,deck,house,a3716745268_2.jpg,pop,0.9248040914535522,0.9065591096878052,0.6867079138755798,0.6592579483985901,0.6543652415275574,0.6206440925598145,0.5956027507781982,0.5556745529174805,0.5436965823173523,0.5269238352775574
sky,painting,cloud,morning,picture frame,art,acrylic paint,ecoregion,modern art,visual arts,a2340347864_2.jpg,pop,0.939899742603302,0.8969945311546326,0.7498912215232849,0.7318754196166992,0.677405059337616,0.6562337875366211,0.654947817325592,0.6383101344108582,0.6295575499534607,0.6157031655311584
eyewear,eyebrow,nose,sunglasses,cheek,chin,vision care,forehead,glasses,goggles,a1119603200_2.jpg,pop,0.991848647594452,0.9154993295669556,0.9136251211166382,0.8947052955627441,0.8914658427238464,0.8784300684928894,0.8305032253265381,0.8281401991844177,0.8175296187400818,0.7634273171424866
goats,goat,fauna,cow goat family,painting,goat antelope,snout,livestock,wildlife,,a1550819757_2.jpg,pop,0.9582575559616088,0.8703424334526062,0.8090676069259644,0.7295350432395935,0.7053614258766174,0.6767328977584839,0.653289794921875,0.5972837805747986,0.5006715059280396,
photograph,black and white,photography,album cover,poster,monochrome photography,photo caption,girl,font,portrait photography,a1373303744_2.jpg,pop,0.9553754925727844,0.8761539459228516,0.8379056453704834,0.835555911064148,0.7165008783340454,0.6947526931762695,0.6059295535087585,0.5632643103599548,0.5319249629974365,0.5187621712684631
cartoon,art,drawing,sketch,illustration,cool,human behavior,fictional character,artwork,fiction,a1602344689_2.jpg,pop,0.9501692652702332,0.915050745010376,0.8214338421821594,0.6833963990211487,0.6599739193916321,0.639121413230896,0.6345617175102234,0.61185622215271,0.6088278889656067,0.5582737922668457
atmosphere,violet,universe,purple,phenomenon,sky,astronomical object,galaxy,nebula,space,a1311450867_2.jpg,pop,0.880950927734375,0.8748008608818054,0.8562090992927551,0.8516626358032227,0.7547649145126343,0.6852889060974121,0.6750465035438538,0.6652520895004272,0.6422877311706543,0.6109914779663086
girl,black hair,long hair,brown hair,advertising,bangs,hair coloring,computer wallpaper,,,a3726863276_2.jpg,pop,0.8040684461593628,0.793171763420105,0.6709973216056824,0.6099512577056885,0.600391685962677,0.5790709257125854,0.5111840963363647,0.5067002773284912,,
nature,sky,atmosphere,tree,winter,water,water resources,morning,phenomenon,daytime,a3388416924_2.jpg,pop,0.9522727727890016,0.903037130832672,0.8217742443084717,0.8129802346229553,0.8038826584815979,0.7863413691520691,0.7748382091522217,0.7673540711402893,0.7547649145126343,0.6947063207626343
sky,infrastructure,fixed link,daylighting,angle,,,,,,a2764722347_2.jpg,pop,0.9257851243019104,0.8925978541374207,0.8092933893203735,0.5947139859199524,0.5490165948867798,,,,,
text,light,lighting,font,computer wallpaper,brand,,,,,a1548690065_2.jpg,pop,0.8848950266838074,0.8297649025917053,0.7429070472717285,0.7393104434013367,0.5072678327560425,0.5001798272132874,,,,
